_id,tempo_de_assinatura,historico_de_presenca_nos_jogos,historico_de_socio,numero_de_desistencias_no_periodo,historico_de_preco_nos_planos,tipo_de_plano,quantos_membros,planos_com_ingresso_incluso,estado_civil,risco_de_churn,feedback_sobre_servicos,frequencia_de_compra_de_produtos
185,46,12,10,1,294,familiar,5,nao,casado,baixo,10,13
186,3,50,5,0,151,individual,6,sim,divorciado,alto,7,6
187,34,73,28,5,354,individual,1,nao,casado,alto,6,6
188,57,53,22,6,138,individual,6,nao,divorciado,médio,10,0
189,46,70,16,0,144,familiar,4,nao,divorciado,alto,1,8
190,50,72,10,2,349,individual,6,sim,casado,médio,7,6
191,17,49,28,6,381,familiar,2,nao,solteiro,baixo,3,3
192,77,60,5,2,368,individual,2,sim,solteiro,baixo,2,6
193,12,13,27,0,87,familiar,7,sim,solteiro,alto,1,4
194,86,18,9,6,295,individual,3,nao,divorciado,alto,7,9
195,6,39,14,2,445,familiar,3,nao,solteiro,baixo,8,5
196,24,41,19,0,89,familiar,6,nao,casado,médio,1,6
197,83,55,3,0,279,individual,1,sim,divorciado,baixo,7,4
198,36,36,10,6,428,familiar,2,nao,solteiro,baixo,10,4
199,15,62,14,7,340,familiar,2,nao,solteiro,alto,7,12
200,77,26,6,4,299,individual,1,sim,solteiro,médio,7,4
201,84,13,22,6,89,individual,4,nao,divorciado,baixo,6,3
202,38,54,19,2,179,individual,2,nao,divorciado,alto,4,6
203,19,15,19,9,231,familiar,6,nao,solteiro,médio,2,5
204,67,13,1,6,68,familiar,3,sim,divorciado,médio,1,8
205,47,69,16,6,3,familiar,3,sim,casado,alto,2,3
206,42,17,7,2,238,familiar,4,sim,casado,baixo,2,1
207,64,59,37,3,342,individual,2,nao,casado,médio,9,4
208,70,23,31,9,379,individual,5,nao,divorciado,médio,0,0
209,29,28,13,8,322,familiar,1,nao,divorciado,médio,10,1
210,6,28,23,9,486,familiar,5,nao,divorciado,baixo,1,9
211,55,71,20,1,84,individual,1,sim,divorciado,alto,3,6
212,83,17,31,0,396,familiar,7,nao,solteiro,médio,6,7
213,77,15,19,5,295,individual,4,nao,casado,alto,4,6
214,51,31,13,0,37,familiar,2,nao,solteiro,médio,9,1
215,18,58,9,0,195,familiar,7,sim,divorciado,médio,6,5
216,77,73,2,2,333,individual,4,sim,divorciado,alto,8,5
217,41,51,19,1,24,individual,4,sim,casado,alto,5,18
218,53,25,28,5,180,familiar,5,nao,casado,médio,10,8
219,80,22,29,7,106,individual,3,sim,divorciado,alto,1,6
220,32,69,17,8,473,familiar,1,nao,divorciado,baixo,5,6
221,9,41,10,8,191,familiar,6,sim,divorciado,baixo,6,8
222,73,42,15,3,24,individual,5,nao,casado,alto,8,1
223,19,9,26,1,207,individual,7,nao,divorciado,alto,8,16
224,67,21,15,5,221,individual,1,nao,casado,alto,5,0
225,63,35,12,1,481,individual,6,sim,casado,médio,1,5
226,56,31,13,8,387,individual,7,nao,solteiro,médio,9,3
227,5,32,19,9,483,individual,4,nao,casado,baixo,8,4
228,62,30,17,4,301,familiar,2,nao,divorciado,alto,1,12
229,35,35,5,7,483,individual,2,sim,divorciado,alto,6,2
230,36,51,15,5,391,individual,4,nao,solteiro,alto,10,5
231,17,71,36,9,126,familiar,3,nao,solteiro,alto,5,2
232,5,9,6,3,468,familiar,2,sim,casado,baixo,8,12
233,60,43,33,5,326,familiar,2,sim,casado,baixo,0,7
234,51,40,12,8,373,familiar,5,nao,divorciado,alto,10,4
235,4,35,7,3,166,individual,7,sim,divorciado,médio,5,1
236,26,30,1,1,259,familiar,3,sim,casado,baixo,4,8
237,39,11,25,0,332,familiar,2,sim,divorciado,baixo,0,9
238,81,58,22,2,53,familiar,1,nao,divorciado,baixo,8,20
239,40,10,35,8,443,familiar,6,nao,solteiro,baixo,7,8
240,41,21,34,5,435,individual,7,sim,solteiro,alto,8,5
241,5,68,37,8,145,familiar,1,nao,divorciado,alto,9,3
242,36,17,7,7,441,familiar,2,nao,casado,médio,3,5
243,76,30,18,5,376,individual,7,sim,casado,alto,7,8
244,77,44,31,0,359,individual,6,sim,casado,alto,1,6
245,30,31,27,3,463,familiar,1,sim,casado,alto,6,8
246,66,42,5,5,212,individual,2,nao,divorciado,médio,2,16
247,15,14,5,2,372,individual,4,sim,casado,médio,1,9
248,43,19,29,3,77,individual,7,nao,solteiro,baixo,9,2
249,54,66,36,7,318,individual,3,sim,divorciado,alto,6,6
250,55,55,1,9,227,familiar,1,nao,solteiro,alto,0,4
251,22,43,30,9,39,familiar,2,sim,divorciado,alto,4,1
252,30,58,22,0,353,individual,1,nao,solteiro,baixo,2,13
253,80,66,17,3,185,individual,1,nao,solteiro,médio,0,3
254,53,26,25,4,25,individual,5,nao,casado,alto,10,2
255,79,6,35,1,412,familiar,4,nao,casado,médio,0,5
256,57,16,2,7,375,familiar,4,sim,casado,médio,0,0
257,59,67,35,8,184,familiar,7,sim,casado,médio,7,0
258,63,41,20,8,469,individual,4,sim,divorciado,baixo,7,0
259,9,59,5,4,357,individual,3,sim,solteiro,médio,0,3
260,14,51,12,6,194,individual,4,sim,casado,baixo,9,9
261,42,22,31,1,116,familiar,6,nao,casado,alto,1,12
262,75,67,28,3,280,familiar,5,nao,divorciado,alto,8,4
263,54,20,33,8,31,individual,1,sim,solteiro,alto,7,0
264,68,18,33,5,355,familiar,1,sim,divorciado,médio,10,6
265,57,30,23,6,213,individual,6,nao,solteiro,baixo,7,8
266,24,15,11,3,469,individual,5,nao,solteiro,médio,5,18
267,47,28,16,5,396,familiar,1,sim,divorciado,médio,10,0
268,45,2,22,0,456,individual,1,sim,divorciado,médio,6,2
269,27,74,28,3,136,individual,2,nao,casado,alto,8,9
270,62,39,26,4,106,individual,3,sim,solteiro,médio,9,4
271,35,14,11,4,141,individual,3,nao,solteiro,baixo,6,9
272,13,33,11,3,104,individual,1,sim,divorciado,baixo,4,2
273,80,16,22,5,17,familiar,2,sim,divorciado,médio,8,0
274,6,5,7,5,87,familiar,5,sim,divorciado,baixo,10,1
275,72,59,31,1,149,familiar,3,nao,divorciado,baixo,10,2
276,50,18,32,3,481,familiar,2,nao,casado,baixo,9,7
277,49,34,30,7,192,individual,4,nao,casado,alto,7,5
278,3,48,35,3,362,familiar,2,sim,casado,médio,8,0
279,79,10,27,1,157,familiar,7,nao,solteiro,baixo,2,6
280,21,38,15,8,368,individual,6,nao,solteiro,baixo,4,3
281,79,30,7,7,145,familiar,4,nao,divorciado,baixo,5,5
282,9,16,8,3,223,individual,4,sim,casado,baixo,1,8
283,65,46,8,0,192,familiar,7,nao,divorciado,médio,4,4
284,24,74,35,5,86,familiar,3,nao,solteiro,baixo,4,3
285,20,50,14,0,227,individual,3,nao,solteiro,alto,10,6
286,50,63,10,9,486,individual,2,nao,solteiro,baixo,10,8
287,74,29,26,7,49,familiar,3,nao,divorciado,baixo,2,2
288,24,63,6,8,391,familiar,7,nao,divorciado,médio,4,4
289,5,38,5,8,232,familiar,4,nao,divorciado,médio,6,3
290,43,41,31,0,385,individual,3,nao,divorciado,baixo,5,1
291,9,71,24,3,145,individual,7,sim,solteiro,médio,3,9
292,51,15,10,7,363,individual,5,nao,divorciado,alto,5,5
293,47,14,21,4,98,familiar,1,nao,casado,baixo,6,9
294,69,71,30,8,207,familiar,1,nao,solteiro,médio,6,3
295,55,61,18,1,437,familiar,7,sim,solteiro,médio,3,2
296,15,35,4,9,316,individual,2,nao,divorciado,baixo,10,10
297,31,12,36,9,199,individual,1,sim,divorciado,médio,9,5
298,34,68,33,5,41,familiar,6,nao,casado,alto,10,3
299,46,49,31,2,314,familiar,6,sim,casado,baixo,8,17
300,12,29,17,4,162,individual,7,nao,divorciado,alto,3,5
301,67,17,30,8,13,individual,7,sim,divorciado,alto,0,1
302,38,52,23,9,132,individual,1,sim,casado,baixo,7,8
303,2,19,10,5,388,familiar,3,nao,solteiro,alto,7,6
304,27,9,8,4,66,familiar,4,nao,divorciado,baixo,8,2
305,21,33,4,8,331,individual,2,nao,solteiro,médio,8,4
306,38,57,7,9,112,familiar,4,sim,solteiro,médio,4,6
307,61,66,0,1,470,individual,5,sim,casado,médio,9,2
308,67,41,34,4,18,individual,5,sim,divorciado,baixo,7,19
309,35,62,32,8,115,familiar,4,nao,casado,baixo,9,0
310,81,66,14,0,375,individual,7,sim,divorciado,alto,1,6
311,49,57,2,2,209,individual,4,sim,solteiro,baixo,4,3
312,22,30,10,8,282,familiar,4,nao,solteiro,alto,1,2
313,25,23,17,3,179,familiar,1,nao,casado,alto,4,6
314,50,59,5,3,56,familiar,6,sim,divorciado,médio,7,5
315,49,68,0,6,381,individual,3,sim,divorciado,médio,0,9
316,15,60,6,7,380,familiar,4,sim,divorciado,baixo,10,8
317,15,8,2,2,461,familiar,2,nao,casado,baixo,10,6
318,73,32,12,7,493,individual,6,nao,casado,baixo,10,7
319,9,16,19,2,151,familiar,2,nao,solteiro,baixo,0,1
320,42,67,0,8,473,individual,3,sim,divorciado,baixo,8,4
321,2,10,3,0,347,familiar,3,nao,solteiro,médio,1,8
322,14,28,32,6,127,familiar,6,sim,divorciado,baixo,4,8
323,28,12,8,5,325,individual,2,nao,divorciado,baixo,6,2
324,70,37,34,6,148,individual,4,sim,solteiro,baixo,10,8
325,24,8,0,9,302,familiar,3,nao,solteiro,baixo,8,5
326,9,36,11,3,129,individual,3,sim,divorciado,médio,8,8
327,44,66,35,3,67,familiar,2,nao,casado,alto,9,9
328,58,37,22,7,211,individual,3,nao,casado,médio,1,0
329,46,2,9,9,382,familiar,4,sim,solteiro,baixo,1,0
330,49,56,36,9,37,familiar,4,sim,casado,médio,6,3
331,21,64,32,3,435,individual,4,sim,casado,médio,2,0
332,77,44,19,9,127,individual,2,nao,divorciado,alto,6,2
333,82,67,8,5,158,individual,4,sim,divorciado,baixo,9,19
334,79,31,11,0,399,individual,5,sim,casado,médio,10,2
335,47,7,33,4,187,familiar,3,nao,casado,alto,4,8
336,86,28,35,7,281,individual,5,nao,solteiro,médio,1,14
337,84,41,6,1,71,individual,7,nao,casado,médio,5,2
338,67,44,32,4,350,individual,6,nao,solteiro,alto,1,16
339,46,68,19,9,351,individual,3,sim,casado,baixo,10,7
340,77,39,0,5,141,individual,1,sim,solteiro,alto,2,6
341,9,54,12,7,326,individual,1,nao,solteiro,alto,0,7
342,24,37,33,8,153,familiar,4,nao,solteiro,baixo,9,5
343,55,72,20,1,304,familiar,3,nao,divorciado,alto,2,5
344,55,37,17,5,361,individual,3,sim,solteiro,baixo,8,14
345,87,15,23,0,101,individual,2,sim,divorciado,médio,4,4
346,72,70,2,3,64,familiar,6,sim,casado,médio,5,0
347,56,59,7,2,294,individual,5,sim,casado,baixo,0,1
348,2,59,34,7,192,individual,4,sim,casado,médio,9,0
349,70,27,3,7,83,individual,2,nao,casado,baixo,7,9
350,64,51,34,7,408,individual,4,nao,casado,médio,1,7
351,51,1,35,1,283,familiar,1,nao,divorciado,médio,4,2
352,43,38,0,6,397,familiar,1,sim,casado,médio,7,4
353,66,18,17,3,156,individual,6,nao,casado,médio,6,2
354,78,71,36,4,485,individual,4,sim,solteiro,baixo,0,15
355,16,40,3,8,273,familiar,5,sim,divorciado,médio,3,8
356,43,73,30,6,136,familiar,4,nao,casado,alto,0,5
357,52,14,36,2,475,familiar,4,nao,casado,médio,2,7
358,63,43,19,3,339,familiar,5,nao,casado,alto,5,5
359,77,63,28,2,440,familiar,1,nao,casado,baixo,5,1
360,51,23,2,4,492,individual,2,nao,divorciado,médio,7,5
361,1,25,29,5,135,familiar,5,sim,casado,baixo,3,3
362,39,1,9,2,94,familiar,2,nao,casado,médio,6,2
363,82,13,36,0,299,individual,3,sim,casado,médio,10,20
364,63,72,27,6,12,familiar,6,nao,solteiro,médio,4,0
365,15,34,4,8,179,familiar,1,nao,casado,alto,3,15
366,47,44,1,6,353,individual,4,nao,divorciado,baixo,3,7
367,2,35,10,6,455,individual,5,nao,solteiro,baixo,9,13
368,64,56,13,1,232,individual,5,nao,casado,médio,2,4
369,33,62,18,9,338,familiar,7,sim,divorciado,médio,9,6
370,68,54,23,8,244,individual,7,sim,casado,baixo,2,7
371,58,13,25,8,65,individual,2,nao,solteiro,baixo,10,0
372,55,44,18,9,261,familiar,5,sim,divorciado,médio,2,3
373,70,64,13,6,107,familiar,2,nao,divorciado,alto,2,17
374,83,70,15,5,404,familiar,5,nao,divorciado,alto,2,9
375,69,66,34,8,98,familiar,6,sim,divorciado,médio,8,13
376,59,24,30,2,18,individual,7,sim,divorciado,médio,7,15
377,84,33,27,9,35,individual,1,nao,divorciado,baixo,3,2
378,71,28,32,1,162,familiar,4,nao,casado,médio,7,5
379,3,57,17,4,212,familiar,5,sim,solteiro,alto,7,7
380,58,1,12,9,209,familiar,7,sim,casado,médio,0,11
381,42,19,32,8,480,familiar,4,sim,solteiro,baixo,9,8
382,84,69,11,8,326,individual,3,sim,solteiro,baixo,9,0
383,67,63,28,4,209,familiar,1,nao,casado,alto,1,1
384,43,41,36,8,69,familiar,6,sim,casado,baixo,7,2
385,70,4,20,8,25,individual,4,nao,casado,baixo,4,1
386,12,35,26,4,331,familiar,2,sim,solteiro,médio,9,2
387,38,17,36,6,394,individual,3,nao,casado,baixo,6,8
388,31,29,12,5,293,individual,6,nao,casado,baixo,4,2
389,72,19,11,9,275,familiar,4,nao,casado,médio,10,3
390,5,50,27,8,69,familiar,6,sim,casado,baixo,9,6
391,25,18,32,1,451,individual,5,nao,casado,baixo,9,5
392,4,54,34,8,410,familiar,1,nao,divorciado,baixo,8,2
393,65,46,33,6,348,individual,7,nao,solteiro,alto,2,1
394,31,50,1,8,468,familiar,5,sim,casado,baixo,7,3
395,69,25,30,2,13,individual,1,sim,casado,alto,4,3
396,39,64,16,7,175,familiar,7,nao,divorciado,alto,6,5
397,86,3,12,7,51,familiar,4,nao,solteiro,baixo,9,1
398,13,11,15,6,378,familiar,3,nao,divorciado,baixo,6,5
399,52,8,25,8,7,individual,4,nao,casado,baixo,6,2
400,70,8,32,6,288,familiar,5,nao,divorciado,baixo,9,1
401,75,37,31,0,4,individual,7,sim,casado,baixo,4,1
402,42,14,30,9,443,familiar,3,nao,divorciado,baixo,8,2
403,47,57,27,5,85,individual,5,nao,divorciado,alto,1,6
404,73,52,15,7,467,familiar,3,sim,casado,baixo,4,2
405,28,44,17,7,286,familiar,4,nao,divorciado,baixo,7,6
406,3,29,31,8,67,individual,1,sim,solteiro,alto,1,1
407,6,38,35,5,24,familiar,3,sim,solteiro,médio,3,2
408,31,36,37,9,53,familiar,2,nao,divorciado,médio,8,8
409,43,52,15,0,103,individual,3,sim,casado,alto,8,2
410,78,21,9,4,93,familiar,3,sim,casado,alto,0,1
411,31,10,5,4,353,familiar,2,sim,divorciado,médio,3,5
412,1,24,34,3,440,individual,6,nao,casado,médio,1,6
413,40,11,5,9,483,individual,4,sim,solteiro,alto,2,8
414,82,2,17,5,145,individual,3,nao,divorciado,alto,6,1
415,55,64,9,6,200,familiar,5,nao,casado,baixo,3,1
416,37,9,21,9,195,familiar,4,sim,casado,alto,9,8
417,42,61,28,7,25,familiar,2,sim,solteiro,baixo,10,7
418,6,55,15,3,21,familiar,2,nao,solteiro,médio,7,7
419,35,62,29,4,369,familiar,5,sim,divorciado,alto,8,12
420,55,33,37,2,222,individual,4,nao,casado,alto,0,7
421,5,41,17,0,441,familiar,5,nao,divorciado,baixo,6,0
422,53,47,7,3,222,familiar,7,sim,casado,baixo,8,8
423,72,4,22,6,74,familiar,1,sim,divorciado,médio,2,2
424,7,21,36,8,350,individual,2,sim,solteiro,médio,10,5
425,12,46,2,5,295,individual,3,sim,divorciado,médio,3,1
426,4,15,9,0,103,individual,5,nao,casado,alto,0,5
427,6,68,36,2,402,individual,5,nao,casado,alto,7,7
